NAMESPACE   LAST SEEN   TYPE      REASON      OBJECT          MESSAGE
bench       56m         Normal    Pulled      pod/v9c-p2-0    Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       56m         Normal    Killing     pod/v9c-p2-0    Stopping container predictor
bench       56m         Warning   Unhealthy   pod/v9c-p2-0    Readiness probe failed: Get "http://10.244.0.10:8080/healthz": dial tcp 10.244.0.10:8080: connect: connection refused
bench       55m         Normal    Scheduled   pod/v9c-p2-90   Successfully assigned bench/v9c-p2-90 to ocibench-control-plane
bench       55m         Normal    Pulled      pod/v9c-p2-90   Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
bench       55m         Normal    Created     pod/v9c-p2-90   Container created
bench       55m         Normal    Started     pod/v9c-p2-90   Container started
bench       55m         Warning   Unhealthy   pod/v9c-p2-90   Readiness probe failed: Get "http://10.244.0.11:8080/healthz": dial tcp 10.244.0.11:8080: connect: connection refused
bench       37m         Normal    Pulled      pod/v9c-p2-90   Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       36m         Normal    Killing     pod/v9c-p2-90   Stopping container predictor
bench       36m         Normal    Pulled      pod/v9c-p3-0    Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
bench       36m         Normal    Scheduled   pod/v9c-p3-0    Successfully assigned bench/v9c-p3-0 to ocibench-control-plane
bench       36m         Normal    Created     pod/v9c-p3-0    Container created
bench       36m         Normal    Started     pod/v9c-p3-0    Container started
bench       20m         Normal    Pulled      pod/v9c-p3-0    Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       19m         Normal    Killing     pod/v9c-p3-0    Stopping container predictor
bench       19m         Warning   Unhealthy   pod/v9c-p3-0    Readiness probe failed: Get "http://10.244.0.12:8080/healthz": dial tcp 10.244.0.12:8080: connect: connection refused
bench       19m         Normal    Scheduled   pod/v9c-p3-90   Successfully assigned bench/v9c-p3-90 to ocibench-control-plane
bench       19m         Normal    Pulled      pod/v9c-p3-90   Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
bench       19m         Normal    Created     pod/v9c-p3-90   Container created
bench       19m         Normal    Started     pod/v9c-p3-90   Container started
bench       19m         Warning   Unhealthy   pod/v9c-p3-90   Readiness probe failed: Get "http://10.244.0.13:8080/healthz": dial tcp 10.244.0.13:8080: connect: connection refused
bench       26s         Normal    Pulled      pod/v9c-p3-90   Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       6s          Normal    Killing     pod/v9c-p3-90   Stopping container predictor
